시점,총배출량,순배출량,CO2,CH4,N2O,HFCs,PFCs,SF6,LULUCF
1990,292.098,254.424,251.99,30.235,8.717,0.983,-,0.173,-37.673
1991,315.341,281.879,274.849,30.186,9.175,0.799,-,0.333,-33.462
1992,343.338,310.662,299.733,29.636,11.745,1.877,0.0,0.345,-32.675
1993,378.533,347.664,334.691,29.106,12.229,2.117,0.0020,0.387,-30.868
1994,403.541,370.445,356.981,29.152,13.026,3.838,-,0.544,-33.097
1995,433.757,402.46,384.258,28.825,14.02,5.085,0.063,1.506,-31.297
1996,470.241,435.519,418.603,29.108,15.012,5.779,0.587,1.152,-34.722
1997,501.875,462.376,446.183,29.349,15.973,7.16,1.683,1.527,-39.499
1998,431.388,383.327,379.352,28.136,16.34,4.911,1.649,0.999,-48.061
1999,469.369,413.819,411.461,27.852,16.872,8.061,1.89,3.232,-55.549
2000,502.681,443.704,443.674,27.851,17.64,8.443,2.25,2.823,-58.977
2001,515.955,457.546,459.378,28.206,17.803,5.852,1.989,2.727,-58.409
2002,538.406,482.275,478.86,28.389,17.612,8.653,1.973,2.919,-56.131
2003,548.762,493.177,487.339,28.388,21.011,6.443,2.267,3.314,-55.584
2004,557.012,500.145,492.761,27.455,23.501,6.591,2.774,3.93,-56.866
2005,561.472,506.51,498.236,27.462,22.053,6.651,2.797,4.272,-54.962
2006,566.998,510.829,504.047,27.306,21.308,6.098,2.925,5.314,-56.169
2007,580.341,523.528,524.263,27.144,12.171,7.363,2.978,6.421,-56.813
2008,593.991,536.386,538.154,27.097,11.616,6.881,2.793,7.45,-57.605
2009,598.001,540.874,542.525,27.129,12,5.846,2.047,8.454,-57.127
2010,656.049,601.295,595.308,27.746,12.553,8.088,2.265,10.09,-54.754
2011,684.703,631.443,625.935,27.82,12.346,7.907,2.072,8.624,-53.26
2012,688.035,639.994,627.78,27.691,12.878,8.694,2.268,8.724,-48.041
2013,697.309,653.919,636.637,27.502,13.046,8.095,2.321,9.709,-43.39
2014,692.101,647.719,629.87,27.326,13.142,8.538,2.427,10.798,-44.382
2015,692.576,647.012,634.32,27.196,13.101,7.931,1.521,8.506,-45.564
2016,693.612,647.071,637.428,27.25,13.058,7.366,1.489,7.022,-46.541
2017,710.743,668.186,650.22,27.873,13.898,9.649,2.123,6.981,-42.557
2018,727.045,684.959,664.976,28.009,14.398,9.305,3.18,7.178,-42.086
2019,701.37,661.82,643.767,27.511,14.31,6.855,3.003,5.924,-39.55
