시점,총인구,출생아수,사망자수
1981,38723248,867409,NA
1982,39326352,848312,NA
1983,39910403,769155,254563
1984,40405956,674793,236445
1985,40805744,655489,240418
1986,41213674,636019,239256
1987,41621690,623831,243504
1988,42031247,633092,235779
1989,42449038,639431,236818
1990,42869283,649738,241616
1991,43295704,709275,242270
1992,43747962,730678,236162
1993,44194628,715826,234257
1994,44641540,721185,242439
1995,45092991,715020,242838
1996,45524681,691226,241149
1997,45953580,675394,244693
1998,46286503,641594,245825
1999,46616677,620668,247734
2000,47008111,640089,248740
2001,47370164,559934,243813
2002,47644736,496911,247524
2003,47892330,495036,246463
2004,48082519,476958,246220
2005,48184561,438707,245874
2006,48438292,451759,244162
2007,48683638,496822,246482
2008,49054708,465892,246113
2009,49307835,444849,246942
2010,49554112,470171,255405
2011,49936638,471265,257396
2012,50199853,484550,267221
2013,50428893,436455,266257
2014,50746659,435435,267692
2015,51014947,438420,275895
2016,51217803,406243,280827
2017,51361911,357771,285534
2018,51585058,326822,298820
2019,51764822,302676,295110
2020,51836239,272337,304948
2021,51744876,260562,317800
